id,nom,adresse,code_postal,ville,departement,adresse_complete,code_insee,longitude,latitude,telephone,finess,siret,site_web,email,accepte_commandes,chiffre_affaires,directeur_nom,directeur_prenom,directeur_poste,num_departement
67feb71d3eb1f3727dbe978e,Pharmacie Couzon Icard,24 R. De Savoie,01510,Artemare,Ain,24 RUE DE SAVOIE 01510 ARTEMARE,01022,5.69577,45.873167,0479873005,010002483,89526569200015,,,False,,COUZON,AURELIA,Gérant,01
67feb71d3eb1f3727dbe97b9,Pharmacie Vallée,2 R. Joseph Viallaz,01110,Plateau D Hauteville,Ain,2 RUE JOSEPH VIALLAZ 01110 PLATEAU D'HAUTEVILLE,01185,5.600536,45.976825,0474353007,010003887,81775704000024,,,False,,VALLEE,FREDERIC ANDRE FRANCOIS,Gérant,01
67feb71d3eb1f3727dbe97cf,Pharmacie De La Sereine,,01120,Montluel,Ain,245 GRANDE RUE 01120 MONTLUEL,01262,5.05551,45.851078,0478061168,010004471,53165927400017,,,False,,CHERIFI,YOUCEF,Gérant,01
67feb71d3eb1f3727dbe9826,Pharmacie Du Chemin Des Dames,3 R. Pierre Curtil,02820,Corbeny,Aisne,3 RUE PIERRE CURTIL 02820 CORBENY,02215,3.822891,49.462077,0323224820,020003331,82822236400014,,,False,,CASTRONOVO,ABIGAIL RENEE GILLETTE MARIE,Gérant et associé indéfiniment responsable,02
67feb71d3eb1f3727dbe9852,Pharmacie De La Place,10 R. Croix Belle Porte,02100,St Quentin,Aisne,8-10 8 RUE CROIX BELLE PORTE 02100 SAINT-QUENTIN,02691,3.287559,49.847587,0323063883,020010724,81371817800011,,,False,,BISIAUX,LAURENT JEAN BERNARD,Gérant,02
67feb71d3eb1f3727dbe9854,Pharmacie Saillard,20 Bd. Henri Martin,02100,St Quentin,Aisne,20 BOULEVARD HENRI MARTIN 02100 SAINT-QUENTIN,02691,3.279456,49.847646,0323622446,020010781,34098492100015,,,False,,SAILLARD (MEUNIER),SYLVIE,,02
67feb71d3eb1f3727dbe98b5,Pharmacie Moulins Sud,169 Rte. De Lyon,03000,Moulins,Allier,CC CARREFOUR ROUTE DE LYON 03000 MOULINS,03190,3.339293,46.549219,0470443240,030004162,32411590600012,,,False,,MONIOT,JEREMIE DOMINIQUE,Gérant,03
67feb71d3eb1f3727dbe98e9,Pharmacie Luthringer,6 Bd. Latourette,04300,Forcalquier,Alpes De Haute Provence,BOULEVARD LATOURETTE 04300 FORCALQUIER,04088,5.779906,43.958583,0492750003,040002693,42180037600012,,,False,,LUTHRINGER,EMMANUEL,Gérant et associé indéfiniment responsable,04
67feb71d3eb1f3727dbe991c,Pharmacie Peyron,R. Maurice Petsche,05600,Guillestre,Hautes Alpes,,05065,6.6496332,44.6597965,0492450414,050003755,37960516500016,,,False,,PEYRON,GILLES,Gérant et associé indéfiniment responsable,05
67feb71d3eb1f3727dbe9789,Pharmacie Gustin,68 Av. Roger Salengro,01500,Amberieu En Bugey,Ain,,01004,5.3439542,45.9549299,0474468146,010002350,34055587900014,,,False,,GARDETTE,VICTORIA LAURE,Président de SAS,01
67feb71d3eb1f3727dbe981c,Pharmacie Principale,68 R. Du General De Gaulle,02260,La Capelle,Aisne,68 RUE DU GENERAL DE GAULLE 02260 LA CAPELLE,02141,3.916798,49.974698,0323972065,020002812,81129072500019,,,False,,LAZZARANO,AIMIE LAURE ALICE,Gérant,02
67feb71d3eb1f3727dbe98cd,Pharmacie Du Boulet,27 Av. Felix Mioche,03430,Villefranche D Allier,Allier,AVENUE FELIX MIOCHE 03430 VILLEFRANCHE-D'ALLIER,03315,2.855525,46.399277,0470074038,030005615,41410982700017,,,False,,DU BOULET DE LA BOISSIERE (VALOIS),F,,03
67feb71d3eb1f3727dbe98d9,Pharmacie Delaune,6 All. Alphonse Daudet,04100,Manosque,Alpes De Haute Provence,CENTRE COMMERCIAL DE LA LUQUECE ALLEE ALPHONSE DAUDET 04100 MANOSQUE,04112,5.78176,43.82905,0492722839,040002370,49990113000017,,,False,,BREMOND (BOYER),MONIQUE,Directeur Général,04
67feb71d3eb1f3727dbe98e0,Pharmacie Mendez,Bd. Charles De Gaulle,04100,Manosque,Alpes De Haute Provence,2 BOULEVARD DU TEMPS PERDU 04100 MANOSQUE,04112,5.785855,43.827657,0492721168,040002503,52760192600019,,,False,,AILLAUD,CLAIRE SUZANNE,Autre,04
67feb71d3eb1f3727dbe9944,La Bastide,83 Av. Du 3 Septembre,06320,Cap D Ail,Alpes Maritimes,83 AV DU 3 SEPTEMBRE 1945 06320 CAP D'AIL,06032,7.39729,43.723145,0493780860,060005097,51094237800017,http://www.pharmacie-labastide.com/,,False,,BEC,BRIGITTE CORINNE JACQUELINE,Gérant et associé indéfiniment responsable,06
67feb71d3eb1f3727dbe995c,Pharmacie Du Pont Vieux,2 R. Vincent Comiti,06380,Sospel,Alpes Maritimes,LIEUDIT CABRAIA ET LE VALLON 2 RUE VINCENT COMITI 06380 SOSPEL,06136,7.447108,43.877591,0493040148,060007762,82897546600016,,,False,,CAUJOLLE,JEROME ANDRE FERNAND,Gérant,06
67feb71d3eb1f3727dbe9972,Pharmacie La Vençoise,27 Av. Marcellin Maurel,06140,Vence,Alpes Maritimes,27 AVENUE MARCELLIN MAUREL 06140 VENCE,06157,7.112858,43.722192,0493580309,060010741,44171081100023,,,False,,PRUFER,ALAIN MAX EMILE,Gérant,06
67feb71d3eb1f3727dbe97d7,Pharmacie Moissenet,R. De La Bresse,01400,Neuville Les Dames,Ain,241 RUE DE LA BRESSE 01400 NEUVILLE-LES-DAMES,01272,5.002902,46.164521,0474556024,010004687,87871671100014,,,False,,GLEIZON (SAREHANE),LEILA NADIA,Gérant,01
67feb71d3eb1f3727dbe97df,Pharmacie De La Plaine,93 Crs. De Verdun,01100,Oyonnax,Ain,COURS DE VERDUN 01100 OYONNAX,01283,5.648497,46.260269,0474773106,010004935,78993975800015,,,False,,MILLET,CLAIRE,Gérant,01
67feb71d3eb1f3727dbe97eb,Pharmacie Marmonier Cibert,,01600,Reyrieux,Ain,220 GRANDE RUE 01600 REYRIEUX,01322,4.823499,45.934991,0474000897,010005270,35340261300015,,,False,,CIBERT,MICHEL BERTRAND MARIN,Associé indéfiniment et solidairement responsable,01
67feb71d3eb1f3727dbe9810,Pharmacie D'Ambleny,5 R. Dantale,02290,Ambleny,Aisne,5 RUE DANTALE 02290 AMBLENY,02011,3.184903,49.379565,0323742001,020001954,53803076800013,,,False,,CORROYER (CHAUVIN),MARINE MONIQUE CATHERINE,Gérant,02
67feb71d3eb1f3727dbe987c,Pharmacie Grand,1 R. De La Laïcité,03000,Avermes,Allier,,03013,3.3091179,46.586572,0470465380,030001382,49161361800025,,,False,,GRAND-FOURMOND (KOPKA),CHRISTELE,Gérant,03
67feb71d3eb1f3727dbe98ca,Pharmacie Du Parc,26 R. Du President Wilson,03200,Vichy,Allier,26 RUE DU PRESIDENT WILSON 03200 VICHY,03310,3.420705,46.125456,0470982176,030005540,42315183600016,,,False,,BARSE,BRUNO,,03
67feb71d3eb1f3727dbe990c,Pharmacie Carnot,23 R. Carnot,05000,Gap,Hautes Alpes,23 RUE CARNOT 05000 GAP,05061,6.080905,44.55941,0492513293,050003276,90991197600019,,,False,,COUTIN-RIZZITELLI (COUTIN),MARINE LAETICIA,Gérant,05
67feb71d3eb1f3727dbe9923,Pharmacie Serre,10 R. De L'Eglise,05100,Montgenevre,Hautes Alpes,,05085,6.7265438,44.9325808,0492219283,050003961,38222258600010,,,False,,SERRE,BERTRAND,,05
